TABL. 18. POWIERZCHNIA, PLONY I ZBIORY KUKURYDZY NA ZIARNO;;;;;;
Wyszczególnienie;"Powierzchnia 
w ha";"Plony 
z 1 ha 
w dt";"Zbiory 
w dt";Powierzchnia;Plony;Zbiory
;;;;2020 = 100;;
;O G Ó Ł E M;;;;;
P o l s k a ;998 469;74,7;74 607 050;105,5;103,6;109,4
Dolnośląskie ;125 750;78,0;9 808 500;127,5;105,8;134,9
Kujawsko-pomorskie ;136 186;70,6;9 614 732;103,9;98,1;102,0
Lubelskie ;48 810;78,0;3 807 180;118,7;110,8;131,6
Lubuskie ;27 033;69,0;1 865 277;105,5;112,7;119,0
Łódzkie ;55 167;76,0;4 192 692;109,8;106,7;117,2
Małopolskie ;30 880;78,1;2 411 728;94,3;100,5;94,8
Mazowieckie ;106 182;70,0;7 432 740;100,1;107,5;107,6
Opolskie ;60 145;83,2;5 004 064;97,9;98,1;96,1
Podkarpackie ;57 490;93,6;5 381 064;130,6;100,0;130,7
Podlaskie ;40 528;72,4;2 934 227;99,4;103,9;103,2
Pomorskie ;11 902;65,3;777 201;58,6;106,0;62,1
Śląskie ;28 713;81,1;2 328 624;104,7;107,0;112,0
Świętokrzyskie ;11 260;60,8;684 608;111,3;103,2;114,9
Warmińsko-mazurskie ;37 803;75,0;2 835 225;120,9;114,5;138,4
Wielkopolskie ;186 020;73,4;13 653 868;98,1;100,8;99,0
Zachodniopomorskie ;34 600;54,2;1 875 320;97,0;93,0;90,1