TABL. 77. POWIERZCHNIA UPRAWY, PLONY I ZBIORY TRUSKAWEK I POZIOMEK GRUNTOWYCH;;;;;;
Wyszczególnienie;"Powierzchnia
uprawy
w ha";"Plony
z 1 ha w dt";"Zbiory
w dt";Powierzchnia;Plony;Zbiory
;;;;2021 = 100;;
;OGÓŁEM;;;;;
Polska;31 001;59,7;1 850 552;92,1;128,9;118,7
Dolnośląskie;1 194;35,0;41 761;95,5;92,8;88,6
Kujawsko-pomorskie;662;50,0;33 121;79,9;121,4;96,8
Lubelskie;4 129;80,0;330 193;89,8;88,1;79,1
Lubuskie;263;64,0;16 836;72,5;85,7;62,0
Łódzkie;2 311;56,5;130 587;110,0;117,7;129,5
Małopolskie;769;63,1;48 541;89,4;153,9;137,7
Mazowieckie;15 914;61,7;981 910;93,5;167,2;156,4
Opolskie;147;67,3;9 919;108,1;100,7;109,6
Podkarpackie;358;31,5;11 298;106,5;85,1;90,9
Podlaskie;247;34,4;8 485;70,8;100,0;70,7
Pomorskie;844;51,6;43 548;80,4;111,7;89,8
Śląskie;297;54,1;16 077;110,4;108,0;119,1
Świętokrzyskie;2 124;41,2;87 459;81,9;113,2;92,7
Warmińsko-mazurskie;204;59,2;12 069;75,6;148,0;111,8
Wielkopolskie;1 109;54,5;60 447;92,6;117,7;109,0
Zachodniopomorskie;428;42,8;18 301;98,4;147,6;144,9