TABL. 22. POWIERZCHNIA, PLONY I ZBIORY ZIEMNIAKÓW a);;;;;;
Wyszczególnienie;"Powierzchnia 
w tys.ha";"Plony 
z 1 ha 
w dt";"Zbiory 
w dt";Powierzchnia;Plony;Zbiory
;;;;2020 = 100;;
;O G Ó Ł E M;;;;;
P o l s k a ;235 829;300;70 814 626;104,3;86,4;90,1
Dolnośląskie ;13 025;325;4 233 125;89,9;94,3;84,8
Kujawsko-pomorskie ;17 666;285;5 034 810;89,3;84,7;75,6
Lubelskie ;11 620;346;4 020 520;99,0;87,0;86,1
Lubuskie ;6 432;252;1 620 864;229,7;85,0;195,3
Łódzkie ;26 700;290;7 743 000;103,2;73,1;75,5
Małopolskie ;15 200;310;4 712 000;91,1;96,3;87,7
Mazowieckie ;25 577;321;8 210 217;99,9;97,0;96,9
Opolskie ;5 697;368;2 095 357;96,9;105,1;101,9
Podkarpackie ;13 639;280;3 818 920;99,9;96,7;96,5
Podlaskie ;13 239;258;3 415 662;227,7;88,5;201,5
Pomorskie ;20 518;255;5 232 090;106,1;71,3;75,6
Śląskie ;6 967;285;1 985 595;138,2;84,6;116,9
Świętokrzyskie ;10 520;335;3 524 200;101,8;96,2;97,9
Warmińsko-mazurskie ;6 175;323;1 994 525;107,2;102,1;109,5
Wielkopolskie ;31 283;312;9 760 296;100,9;84,7;85,5
Zachodniopomorskie ;11 571;295;3 413 445;94,5;86,6;81,8